Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,69.8080055421157,55,802,8661.99679239238,Non-binary,58,7,96,4,Carrier B,2.9565721394308,Supplier 3,Mumbai,29,215,29,46.2798792405083,Pending,0.226410360849925,Road,Route B,187.752075459203
skincare,SKU1,14.8435232750843,95,736,7460.90006544584,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.8540680263887,Road,Route B,503.065579149669
skincare,SKU3,61.1633430164377,68,83,7766.83642568523,Non-binary,23,13,59,6,Carrier C,1.72956856354342,Supplier 5,Kolkata,24,937,18,35.624741397125,Fail,4.74664862064775,Rail,Route A,254.776159219286
skincare,SKU4,4.80549603634589,26,871,2686.50515156744,Non-binary,5,3,56,8,Carrier A,3.89054791587067,Supplier 1,Delhi,5,414,3,92.0651605987128,Fail,3.145579522833,Air,Route A,923.440631711922
haircare,SKU5,1.69997601386593,87,147,2828.34874597575,Non-binary,90,27,66,3,Carrier B,4.44409886438229,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.77919351157116,Road,Route A,235.461236735537
skincare,SKU6,4.07833286310794,48,65,7823.47655953173,Male,11,15,58,8,Carrier C,3.880763302952,Supplier 3,Kolkata,14,314,24,1.08506856958706,Pending,1.00091061930413,Sea,Route A,134.369096861031
cosmetics,SKU7,42.95838438246,59,426,8496.10381308983,Female,93,17,11,1,Carrier B,2.34833878441778,Supplier 4,Bangalore,22,564,1,99.4661086035991,Fail,0.39817718685065,Road,Route C,802.056311817558
cosmetics,SKU8,68.7175967485273,78,150,7517.36321063112,Female,5,10,15,7,Carrier C,3.40473385708302,Supplier 4,Mumbai,13,769,8,11.4230271395656,Pending,2.70986269110996,Sea,Route B,505.557134225464
skincare,SKU10,15.7077956819121,11,996,2330.96580209194,Non-binary,51,13,80,2,Carrier C,8.67321121127861,Supplier 5,Kolkata,18,830,5,96.5273527853109,Pass,1.72731392835594,Road,Route B,806.103177702923
skincare,SKU11,90.6354599822886,95,960,6099.94411558145,Female,46,23,60,1,Carrier A,4.52394312431666,Supplier 2,Kolkata,28,362,11,27.5923630866636,Pending,0.0211698213729943,Air,Route A,126.723033409407
skincare,SKU13,16.1603933173799,5,249,4052.73841623786,Male,80,8,48,9,Carrier A,9.53728306110833,Supplier 5,Bangalore,23,173,10,97.8290501101732,Pending,1.63107423007153,Road,Route B,547.241005160968
skincare,SKU14,99.1713286386241,26,562,8653.5709264698,Non-binary,54,29,78,5,Carrier B,2.03977018944933,Supplier 1,Kolkata,25,558,14,5.79143662986298,Pending,0.100682851565093,Air,Route B,929.235289960889
skincare,SKU15,36.9892449286269,94,469,5442.08678539767,Non-binary,9,8,69,7,Carrier B,2.4220397232752,Supplier 1,Bangalore,14,580,7,97.1212817514743,Pass,2.26440576119854,Sea,Route B,127.861800001625
skincare,SKU16,7.54717210979127,74,280,6453.79796817628,Female,2,5,78,1,Carrier B,4.1913245857055,Supplier 1,Bangalore,3,399,21,77.10634249785,Pass,1.01256308925804,Air,Route A,865.52577977124
cosmetics,SKU17,81.462534369237,82,126,2629.39643484526,Female,45,17,85,9,Carrier C,3.58541895823234,Supplier 1,Chennai,7,453,16,47.6796803683553,Fail,0.102020754918176,Air,Route C,670.93439079241
haircare,SKU24,4.1563083593111,32,209,9049.07786093989,Male,4,26,2,8,Carrier C,9.74129168928436,Supplier 2,Bangalore,28,447,3,40.3823597029248,Pending,3.69131029262872,Air,Route A,758.724772602938
haircare,SKU25,39.6293439850926,73,142,2174.77705435065,Male,82,11,52,3,Carrier C,2.23107368128172,Supplier 4,Kolkata,19,934,23,78.2803831184153,Pending,3.79723121711418,Road,Route B,458.535945739209
haircare,SKU26,97.4469466178928,9,353,3716.49332589403,Male,59,16,48,4,Carrier B,6.50754862107855,Supplier 2,Bangalore,26,171,4,15.9722297571817,Pass,2.11931973672492,Rail,Route A,617.866916458377
cosmetics,SKU28,2.39727470559714,12,394,6117.32461508399,Female,48,15,24,4,Carrier B,9.89814050806922,Supplier 1,Mumbai,13,171,7,59.4293818106915,Fail,0.815757079295672,Air,Route A,123.437027511827
cosmetics,SKU29,63.4475591852073,3,253,8318.90319461717,Female,45,5,67,7,Carrier B,8.10097314539703,Supplier 1,Kolkata,16,329,7,39.2928755860657,Pass,3.87809893658848,Road,Route B,764.935375940708
haircare,SKU30,8.02285921052639,10,327,2766.34236686608,Male,60,26,35,7,Carrier B,8.95452831531801,Supplier 4,Kolkata,27,806,30,51.6348934001093,Pending,0.965394705352393,Road,Route C,880.080988247161
skincare,SKU31,50.8473930517187,28,168,9655.13510271939,Male,6,17,44,4,Carrier B,2.6796609649814,Supplier 3,Chennai,24,461,8,60.251145661598,Pending,2.98900000665507,Rail,Route C,609.379206618426
cosmetics,SKU33,64.7954350001556,63,616,5149.99835040803,Non-binary,4,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.8534275128961,Fail,3.54104601225092,Sea,Route A,371.255295519871
cosmetics,SKU35,84.9577868163504,11,449,6541.32934480246,Female,42,27,85,8,Carrier C,5.2881899903274,Supplier 1,Delhi,3,367,2,58.0047870447437,Pass,0.541154098060581,Sea,Route C,553.420471230355
skincare,SKU36,9.81300257875405,34,963,7573.40245784873,Female,18,23,28,3,Carrier B,2.10795126715908,Supplier 2,Delhi,26,671,19,45.5313642371621,Fail,3.80553337924335,Air,Route C,403.80897424818
skincare,SKU37,23.3998447526143,5,963,2438.33993047002,Female,25,8,21,9,Carrier A,1.53265527359043,Supplier 3,Kolkata,24,867,15,34.3432774650753,Pending,2.61028808484811,Sea,Route A,183.932968043594
cosmetics,SKU38,52.0759306827078,75,705,9692.31804021843,Non-binary,69,1,88,5,Carrier B,9.23593143724922,Supplier 5,Mumbai,10,841,12,5.93069364552831,Pending,0.613326899164507,Air,Route B,339.672869948606
skincare,SKU39,19.1274772658232,26,176,1912.46566310076,Female,78,29,34,3,Carrier A,5.56250377883038,Supplier 2,Kolkata,30,791,6,9.00580742878164,Fail,1.45197220399681,Air,Route B,653.672994552033
skincare,SKU40,80.5414241709403,97,933,5724.95935045626,Female,90,20,39,8,Carrier C,7.22959513973647,Supplier 1,Kolkata,18,793,1,88.1794071042174,Pending,4.21326943058656,Road,Route A,529.808723980691
skincare,SKU41,99.1132916153171,35,556,5521.20525901097,Female,64,19,38,8,Carrier B,5.77326374376665,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.524371131309
skincare,SKU42,46.5291676145167,98,155,1839.60942585676,Female,22,27,57,4,Carrier C,7.5262483268515,Supplier 5,Bangalore,26,179,7,96.4228206395718,Fail,4.93925528862094,Road,Route A,635.657120501991
cosmetics,SKU44,51.3557909131103,34,919,7152.28604943551,Female,13,19,72,6,Carrier C,7.57744965737669,Supplier 2,Delhi,7,834,18,22.5541066208877,Fail,2.96262632045488,Rail,Route A,610.453269619227
haircare,SKU45,33.7841380330655,1,24,5267.95680751052,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.3125444399916,Pass,3.2196046120841,Rail,Route A,495.305697028473
haircare,SKU46,27.0822071998889,75,859,2556.76736063359,Non-binary,92,29,6,8,Carrier B,4.07095583708408,Supplier 3,Chennai,18,870,23,77.3223532110516,Pending,3.6486105925362,Road,Route B,380.435937111964
skincare,SKU47,95.712135880936,93,910,7089.47424993418,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.7129929112936,Pending,0.380573586713213,Rail,Route A,581.602355050586
haircare,SKU48,76.0355444268917,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.09583315655513,Supplier 2,Mumbai,9,109,18,23.1263635824647,Fail,1.6981125407144,Rail,Route B,768.65191395437
cosmetics,SKU50,14.203484264803,91,633,5910.88538966889,Female,31,23,82,10,Carrier A,6.24786091497599,Supplier 2,Delhi,20,306,21,45.1787579246345,Fail,4.75480080467118,Rail,Route B,496.24865029194
haircare,SKU51,26.7007609724617,61,154,9866.46545797969,Male,100,4,52,1,Carrier A,4.78300055794766,Supplier 5,Bangalore,18,673,28,14.1903283445699,Pending,1.77295117208355,Road,Route A,694.982317579445
skincare,SKU52,98.031829656465,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.63105217976894,Supplier 1,Mumbai,10,727,27,9.16684914859715,Pending,2.12247161914382,Air,Route C,602.898498838383
skincare,SKU53,30.3414707112142,93,242,8232.33482942582,Male,96,25,54,3,Carrier B,1.01348656609589,Supplier 1,Delhi,1,631,17,83.3440589916779,Pending,1.41034757607602,Air,Route B,750.73784066827
haircare,SKU54,31.1462431602408,11,622,6088.02147994085,Non-binary,33,22,61,3,Carrier B,4.30510347128763,Supplier 1,Kolkata,26,497,29,30.1860233758225,Pass,2.47877197553974,Road,Route B,814.069996582187
haircare,SKU55,79.8550583407894,16,701,2925.67517030381,Male,97,11,11,5,Carrier A,5.0143649550309,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.54891965939638,Sea,Route B,323.012927952478
skincare,SKU56,20.9863860370433,90,93,4767.02048434413,Non-binary,25,23,83,5,Carrier C,1.77442971407173,Supplier 1,Mumbai,24,826,28,12.8362845728327,Pass,1.17375549538745,Air,Route B,832.210808706021
skincare,SKU58,59.8415613772893,81,896,2021.1498103371,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.0474150946914,Fail,1.73037471985919,Road,Route B,110.364335231364
cosmetics,SKU59,63.8283983477109,30,484,1061.61852301328,Non-binary,100,16,26,7,Carrier B,7.29372259686772,Supplier 1,Kolkata,11,176,4,1.90076224351945,Fail,0.447194015463823,Air,Route A,312.574273610093
skincare,SKU60,17.0280279201887,16,380,8864.08434958643,Female,41,27,72,8,Carrier C,4.38136815810231,Supplier 4,Mumbai,29,929,24,87.2130578151356,Fail,2.85309061664905,Rail,Route A,430.169096975136
skincare,SKU63,13.0173767852878,55,246,4256.94914085022,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.0750039756304,Pending,3.63284329038213,Sea,Route A,687.286177866417
skincare,SKU64,89.6340956081353,11,134,8458.73087836717,Female,73,27,75,6,Carrier C,4.58535346819465,Supplier 1,Delhi,17,328,6,8.69304242587728,Fail,0.159486314717514,Air,Route C,771.225084681157
skincare,SKU65,33.6977172066431,72,457,8354.57968648199,Male,57,24,54,8,Carrier C,6.58054134788459,Supplier 5,Kolkata,16,358,21,1.59722274305067,Fail,4.91109595484233,Rail,Route C,555.859103671743
skincare,SKU66,26.034869773962,52,704,8367.72161802015,Female,13,17,19,8,Carrier A,2.21614272877136,Supplier 5,Kolkata,24,867,28,42.0844367383099,Fail,3.44806328834026,Road,Route A,393.843348578427
haircare,SKU68,37.9318123827903,29,163,3550.21843278099,Non-binary,0,8,58,8,Carrier B,1.19425186488499,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.706303118103
skincare,SKU69,54.8655285170697,62,511,1752.38108748412,Non-binary,95,1,27,3,Carrier B,9.70528679012034,Supplier 4,Kolkata,9,862,7,77.6277658127481,Pending,1.3623879886491,Air,Route A,207.663206208575
haircare,SKU70,47.9145418240587,90,32,7014.88798720338,Female,10,12,22,4,Carrier B,6.31571775460072,Supplier 1,Bangalore,22,775,16,11.4407818237612,Pass,1.83057559861223,Road,Route C,183.272898748711
cosmetics,SKU71,6.38153316274796,14,637,8180.33708542544,Female,76,2,26,6,Carrier A,9.22819031705251,Supplier 2,Bangalore,2,258,10,30.6616774778595,Pending,2.07875060787496,Road,Route A,405.167067888855
cosmetics,SKU72,90.204427520528,88,478,2633.1219813122498,Non-binary,57,29,77,9,Carrier A,6.59961415968954,Supplier 1,Bangalore,21,152,11,55.7604928952442,Pending,3.2133296074383,Rail,Route B,677.944569846183
cosmetics,SKU73,83.8510176813046,41,375,7910.88691614068,Male,17,25,66,5,Carrier B,1.51293683691607,Supplier 4,Chennai,13,444,4,46.8702387976171,Fail,4.6205460645137,Road,Route A,866.472800129657
haircare,SKU74,3.17001141356615,64,904,5709.94529596928,Female,41,6,1,5,Carrier A,5.23765465003744,Supplier 4,Delhi,1,919,9,80.5808521564478,Fail,0.396612724109935,Rail,Route A,341.552656783223
skincare,SKU75,92.9968842339706,29,106,1889.07358977933,Non-binary,16,20,56,10,Carrier C,2.47389776104546,Supplier 1,Chennai,25,759,11,48.0647826400065,Pass,2.03006908866875,Air,Route C,873.129648017651
haircare,SKU76,69.1087995474303,23,241,5328.37598429775,Male,38,1,22,10,Carrier A,7.05453833683692,Supplier 2,Bangalore,25,985,24,64.3235977956002,Pending,2.18003745158221,Rail,Route A,997.413450133194
haircare,SKU79,57.0570312211032,56,198,7888.72326842708,Non-binary,31,25,20,1,Carrier B,6.49632536429504,Supplier 3,Bangalore,5,228,12,57.8709029240362,Pending,0.165871627480608,Air,Route C,351.504219335038
cosmetics,SKU85,76.9629944151938,83,25,8684.61305925385,Female,15,18,66,2,Carrier C,8.24916870487172,Supplier 5,Chennai,4,211,2,69.9293455186723,Fail,1.37442899974575,Road,Route B,842.686830004641
haircare,SKU87,80.4140366503557,24,79,5133.84670108669,Male,5,7,55,10,Carrier A,6.57580379754853,Supplier 3,Chennai,27,523,17,28.6969968241431,Fail,3.69373778783927,Sea,Route B,879.359217734924
cosmetics,SKU88,75.270406975725,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.80125313293107,Supplier 2,Mumbai,21,953,11,68.1849190570411,Pending,0.722204401882931,Sea,Route A,103.916247960704
skincare,SKU90,13.8819135013591,56,320,9592.63357028031,Non-binary,66,18,96,7,Carrier B,7.67443070811269,Supplier 3,Bangalore,8,585,8,85.6759633357979,Pass,1.21938222440138,Rail,Route B,990.078472505811
cosmetics,SKU91,62.1119654639617,90,916,1935.20679350759,Male,98,22,85,7,Carrier B,7.47151408440114,Supplier 4,Delhi,5,207,28,39.7728825023399,Pending,0.626001858209394,Rail,Route B,996.778314950623
cosmetics,SKU92,47.7142330758202,44,276,2100.12975462593,Male,90,25,10,8,Carrier B,4.4695000261236,Supplier 2,Mumbai,4,671,29,62.6126903956143,Pass,0.333431825224739,Rail,Route B,230.092782536762
cosmetics,SKU96,24.4231314203733,29,324,7698.42476563211,Non-binary,67,2,32,3,Carrier C,5.3528780439968,Supplier 3,Mumbai,28,648,28,17.8037563313912,Pending,3.87204768148213,Road,Route A,188.742141149056
haircare,SKU97,3.52611125914341,56,62,4370.91657998453,Male,46,19,4,9,Carrier A,7.90484561120967,Supplier 4,Mumbai,10,535,13,65.7651559263674,Fail,3.37623783471798,Road,Route A,540.132422867967
skincare,SKU98,19.7546048668786,43,913,8525.95255968352,Female,53,1,27,7,Carrier B,1.40980109513807,Supplier 5,Chennai,28,581,9,5.60469086437178,Pending,2.90812216935126,Rail,Route A,882.198863547041
